,Year,Cumulative_Interest_Paid,Total_Equity_With_Appreciation,Cumulative_Tax_Savings,House_Value,Property_Tax,Cumulative_Property_Tax,Tax_Savings,Expected_Tax_Savings,Effective_Tax_Savings,HOA,Cumulative_HOA,Homeowner_Insurance,Cumulative_Homeowner_Insurance,Maintenance,Cumulative_Maintenance,Total_Cost,Rent_Income,Cumulative_Rent_Income,Effective_Cost,House_Net_Value,Initial_Opportunity,Yearly_Rent_Cost,Extra_Investing_Money,Total_Investment,Rent_Net_Value,Opportunity_Cost
11,1.0,10536.1013099,111482.966061,3781.52532747,459000.0,4590.0,4590.0,3781.52532747,0.0,3781.52532747,1515.0,1515.0,363.6,363.6,459.0,459.0,72003.7013099,24997.5,24997.5,43224.6759824,68258.2900787,105417.0,0,7981.70153254,6784.44630266,112201.446303,43943.156224
23,2.0,20485.2651221,134399.900537,7439.26628053,468180.0,4681.8,9271.8,3657.74095305,0.0,3657.74095305,1530.15,3045.15,367.236,730.836,468.18,927.18,89551.0311221,25247.475,50244.975,31866.7898416,102533.110696,111742.02,0,7975.27690696,13970.4984517,125712.518452,23179.407756
35,3.0,29829.639171,158830.726941,10969.2187927,477543.6,4775.436,14047.236,3529.95251222,0.0,3529.95251222,1545.4515,4590.6015,370.90836,1101.74436,477.5436,1404.7236,106626.560631,25499.94975,75744.92475,19912.4170882,138918.309853,118446.5412,0,7972.56405779,21585.407808,140031.949008,1113.63915497
47,4.0,38550.8281971,184859.581951,14367.2522293,487094.472,4870.94472,18918.18072,3398.03343654,0.0,3398.03343654,1560.906015,6151.507515,374.6174436,1476.3618036,487.094472,1891.818072,123214.364628,25754.9492475,101499.873998,7347.23840095,177512.34355,125553.333672,0,7973.70682657,29658.183079,155211.516751,-22300.8267994
59,5.0,46629.8774318,212575.033088,17629.1054415,496836.36144,4968.3636144,23886.5443344,3261.85321226,0.0,3261.85321226,1576.51507515,7728.02259015,378.363618036,1854.72542164,496.83636144,2388.65443344,139298.005898,26012.49874,127512.372737,-5843.47228121,218418.505369,133086.533692,0,7978.8535768,38219.699604,171306.233296,-47112.2720727
71,6.0,54047.2555787,242070.30755,20750.3826999,506773.088669,5067.73088669,28954.2752211,3121.2772584,0.0,3121.2772584,1592.2802259,9320.30281605,382.147254216,2236.87267585,506.773088669,2895.42752211,154860.519134,26272.6237274,153784.996465,-19674.8600309,261745.167581,141071.725714,0,7988.15732971,47302.8153105,188374.541024,-73370.6265565
83,7.0,60782.8372785,273443.532784,23726.549501,516908.550442,5169.08550442,34123.3607255,2976.16680107,0.0,2976.16680107,1608.20302816,10928.5058442,385.968726759,2622.84140261,516.908550442,3412.33607255,169884.39435,26535.3499646,180320.346429,-34162.5015806,307606.034365,149536.029257,0,8001.77590407,56942.4937476,206478.523004,-101127.511361
95,8.0,66815.88504,306797.989384,26552.928245,527246.721451,5272.46721451,39395.82794,2826.37874399,0.0,2826.37874399,1624.28505844,12552.7909027,389.828414026,3012.66981664,527.246721451,3939.582794,184351.55978,26800.7034643,207121.049894,-49322.4183584,356120.407743,158508.191012,0,8019.87206015,67175.9346236,225684.125636,-130436.282107
107,9.0,72125.030621,342242.376952,29224.69378,537791.65588,5377.9165588,44773.7444988,2671.76553496,0.0,2671.76553496,1640.52790903,14193.3188117,393.726698166,3406.3965148,537.79165588,4477.37444988,198243.364249,27068.7104989,234189.760393,-65171.0899237,407413.466875,168018.682473,0,8042.61364798,78042.7123018,246061.394775,-161352.072101
119,10.0,76688.2558442,379891.09358,31736.8688082,548547.488998,5485.47488998,50259.2193888,2512.17502828,0.0,2512.17502828,1656.93318812,15850.2519998,397.663965148,3804.06047995,548.547488998,5025.92193888,211540.558991,27339.3976039,261529.157997,-81725.4678134,461616.561393,178099.803421,0,8070.17376004,89584.922736,267684.726157,-193931.835236
131,11.0,80482.8728279,419864.52966,34084.3191511,559518.438778,5595.18438778,55854.4037766,2347.45034288,0.0,2347.45034288,1673.50252,17523.7545198,401.6406048,4205.70108475,559.518438778,5585.44037766,224223.278913,27612.79158,289141.949577,-99002.9898144,518867.519475,188785.791626,0,8102.73088852,101847.339355,290633.130982,-228234.388493
143,12.0,83485.5036172,462289.376739,36261.7488673,570708.807553,5707.08807553,61561.4918521,2177.42971619,0.0,2177.42971619,1690.2375452,19213.992065,405.657010848,4611.3580956,570.708807553,6156.14918521,236271.023268,27888.9194958,317030.869072,-117021.594671,579310.971411,200112.939124,0,8140.46908718,114877.578441,314990.517565,-264320.453846
155,13.0,85672.0591939,507298.952196,38263.6952208,582122.983704,5821.22983704,67382.7216891,2001.94635346,0.0,2001.94635346,1707.13992065,20921.1319856,409.713580956,5021.07167655,582.122983704,6738.27216891,247662.635736,28167.8086907,345198.677763,-135799.737247,643098.689443,212119.715471,0,8183.57813818,128726.274565,340845.990036,-302252.699407
167,14.0,87017.7178498,555033.540548,40084.5234932,593765.443378,5937.65443378,73320.3761229,1820.8282724,0.0,1820.8282724,1724.21131986,22645.3433055,413.810716766,5434.88239332,593.765443378,7332.03761229,258376.283887,28449.4867776,373648.164541,-155356.404147,710389.944696,224846.8984,0,8232.25372376,143447.266704,368294.165104,-342095.779592
179,15.0,87496.9029001,605640.752246,41718.4216364,605640.752246,6056.40752246,79376.7836454,1633.8981432,0.0,1633.8981432,1741.45343305,24386.7967386,417.948823933,5852.83121725,605.640752246,7937.67836454,268389.438001,28733.9816454,402382.146186,-175711.129822,781351.882068,238337.712304,0,8286.69760309,159097.795669,397435.507972,-383916.374095
